SAMPLINGPOINT_LOCALID,DATETIME_BEGIN,DATETIME_END,PROPERTY,VALUE_NUMERIC,UNIT,STATIONCLASSIFICATION,AREACLASSIFICATION,ALTITUDE,STATIONCODE,STATIONNAME,LONGITUDE,LATITUDE,MUNICIPALITY,CALCULATED
SPO.10.ZOE2.65497.5.2,20210126000000,20210126000000,PM10,6.529445,µg/m3,background,rural-remote,899.0000,AT0ZOE2,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,1607608.0575,6080047.3465,4462 Reichraming,True
SPO.CZ_ABREA_PM10_1317407,20210126000000,20210126000000,PM10,15.875,µg/m3,background,urban,300.0000,CZ0ABRE,Praha 6-Brevnov,1600787.2422,6460902.6680,,True
SPO.CZ_AKALA_PM10_41236,20210126000000,20210126000000,PM10,14.625,µg/m3,traffic,urban,203.0000,CZ0AKAL,Praha 8-Karlin,1607681.5436,6462612.2749,Praha,True
SPO.CZ_AKOBA_PM10_40311,20210126000000,20210126000000,PM10,13.75,µg/m3,background,suburban,269.0000,CZ0AKOB,Praha 8-Kobylisy,1610523.4087,6467463.7008,Praha,True
SPO.CZ_ALEGA_PM10_867416,20210126000000,20210126000000,PM10,16.25,µg/m3,traffic,urban,219.0000,CZ0ALEG,Praha 2-Legerova,1606415.1307,6458821.5652,Praha,True
SPO.CZ_ALIBA_PM10_40285,20210126000000,20210126000000,PM10,13.2375,µg/m3,background,suburban,301.0000,CZ0ALIB,Praha 4-Libus,1608113.9437,6447541.0596,Praha,True
SPO.CZ_APRUA_PM10_194125,20210126000000,20210126000000,PM10,19.125,µg/m3,traffic,urban,267.0000,CZ0APRU,Praha 10-Prumyslova,1618342.7043,6457071.7245,Praha,True
SPO.CZ_AREPA_PM10_783591,20210126000000,20210126000000,PM10,13.625,µg/m3,background,urban,190.0000,CZ0AREP,Praha 1-n. Republiky,1606253.4452,6461541.3301,Praha,True
SPO.CZ_CHVOA_PM10_1337502,20210126000000,20210126000000,PM10,6.75,µg/m3,background,rural-regional,818.0000,CZ0CHVO,Hojna Voda,1638999.3866,6228192.3768,Horní Stropnice,True
SPO.CZ_CPRAA_PM10_987035,20210126000000,20210126000000,PM10,7.75,µg/m3,background,suburban,583.0000,CZ0CPRA,Prachatice,1558522.3428,6277591.3907,Prachatice,True
SPO.CZ_CTABA_PM10_41169,20210126000000,20210126000000,PM10,17.5,µg/m3,traffic,urban,400.0000,CZ0CTAB,Tabor,1633768.1213,6344929.1226,Tábor,True
SPO.CZ_EMTPA_PM10_1369853,20210126000000,20210126000000,PM10,21,µg/m3,background,urban,350.0000,CZ0EMTP,Moravska Trebova - Piaristicka.,1855330.9332,6404642.1735,Moravská Třebová,True
SPO.CZ_EPAUA_PM10_41095,20210126000000,20210126000000,PM10,25.625,µg/m3,background,urban,239.0000,CZ0EPAU,Pardubice Dukla,1754790.2312,6450439.5644,Pardubice,True
SPO.CZ_MPSTA_PM10_40805,20210126000000,20210126000000,PM10,22.125,µg/m3,background,urban,218.0000,CZ0MPST,Prostejov,1905202.4846,6354623.0982,Prostějov,True
SPO.CZ_PKUJA_PM10_1337478,20210126000000,20210126000000,PM10,17.5,µg/m3,background,rural-nearcity,385.0000,CZ0PKUJ,Kamenny Ujezd,1516008.7047,6398269.6335,Kamenný Újezd,True
SPO.CZ_PPLAA_PM10_40952,20210126000000,20210126000000,PM10,19.75,µg/m3,traffic,urban,340.0000,CZ0PPLA,Plzen-Slovany,1491935.0750,6400068.9337,Plzeň,True
SPO.CZ_PPLEA_PM10_954056,20210126000000,20210126000000,PM10,17.125,µg/m3,traffic,urban,306.0000,CZ0PPLE,Plzen-stred,1489570.4106,6402632.2422,Plzeň,True
SPO.CZ_PPLLA_PM10_865012,20210126000000,20210126000000,PM10,16.75,µg/m3,background,urban,360.0000,CZ0PPLL,Plzen-Lochotin,1488143.5860,6406560.5380,Plzeň,True
SPO.CZ_PPLVA_PM10_40750,20210126000000,20210126000000,PM10,18.75,µg/m3,background,suburban,348.0000,CZ0PPLV,Plzen-Doubravka,1494283.9211,6406300.1721,Plzeň,True
SPO.CZ_TOFFA_PM10_40561,20210126000000,20210126000000,PM10,22.125,µg/m3,background,urban,220.0000,CZ0TOFF,Ostrava-Fifejdy,2033104.5641,6418472.4075,Ostrava,True
SPO.CZ_TOPRA_PM10_40997,20210126000000,20210126000000,PM10,22.25,µg/m3,industrial,urban,207.0000,CZ0TOPR,Ostrava-Privoz,2033778.2715,6421419.4403,Ostrava,True
SPO.CZ_TOVKA_PM10_40865,20210126000000,20210126000000,PM10,22.125,µg/m3,background,urban,255.0000,CZ0TOVK,Opava-Katerinky,1993679.8312,6436754.2202,Opava,True
SPO.CZ_TOZRA_PM10_40593,20210126000000,20210126000000,PM10,20.75,µg/m3,background,urban,235.0000,CZ0TOZR,Ostrava-Zabreh,2031266.8905,6411028.1294,Ostrava,True
SPO.CZ_TSTDA_PM10_40663,20210126000000,20210126000000,PM10,23.125,µg/m3,background,rural-nearcity,231.0000,CZ0TSTD,Studenka,2013692.3191,6398086.3750,Studénka,True
