label;lait;type;ref;prix;gout
Abondance;Vache;Pâte pressée cuite;1;15;fort
Banon;Chèvre;Pâte molle à croûte naturelle;2;15;fort
Beaufort;Vache;Pâte pressée cuite;3;15;fort
Bleu d'Auvergne;Vache;Pâte persillée;4;15;fort
Bleu de Gex;Vache;Pâte persillée;5;15;fort
Bleu de Sassenage;Vache;Pâte persillée;6;15;fort
Bleu des Causses;Vache;Pâte persillée;7;15;fort
Brie de Meaux;Vache;Pâte molle à croûte fleurie;8;15;fort
Brie de Melun;Vache;Pâte molle à croûte fleurie;9;15;fort
Brocciu;Brebis;Fromage frais;10;15;fort
Brousse du Rove;Chèvre;Fromage frais;11;15;doux
Camembert de Normandie;Vache;Pâte molle à croûte fleurie;12;15;doux
Cantal;Vache;Pâte pressée non cuite;13;15;doux
Chabichou du Poitou;Chèvre;Pâte molle à croûte naturelle;14;15;doux
Chaource;Vache;Pâte molle à croûte fleurie;15;15;doux
Charolais;Chèvre;Pâte molle à croûte naturelle;16;15;doux
Chevrotin;Chèvre;Pâte pressée non cuite;17;15;doux
Comté;Vache;Pâte pressée cuite;18;15;doux
Crottin de Chavignol;Chèvre;Pâte molle à croûte naturelle;19;15;doux
Époisses;Vache;Pâte molle à croûte lavée;20;15;doux
Fourme d'Ambert;Vache;Pâte persillée;21;15;doux
Fourme de Montbrison;Vache;Pâte persillée;22;15;doux
Laguiole;Vache;Pâte pressée non cuite;23;15;doux
Langres;Vache;Pâte molle à croûte lavée;24;15;très fort
Livarot;Vache;Pâte molle à croûte lavée;25;15;très fort
Mâconnais;Chèvre;Pâte molle à croûte naturelle;26;15;très fort
Maroilles;Vache;Pâte molle à croûte lavée;27;15;très fort
Mont d'Or;Vache;Pâte molle à croûte lavée;28;15;très fort
Morbier;Vache;Pâte pressée non cuite;29;15;très fort
Munster;Vache;Pâte molle à croûte lavée;30;15;très fort
Neufchâtel;Vache;Pâte molle à croûte fleurie;31;15;très fort
Ossau-iraty;Brebis;Pâte pressée non cuite;32;15;très fort
Pélardon;Chèvre;Pâte molle à croûte naturelle;33;15;très fort
Picodon;Chèvre;Pâte molle à croûte naturelle;34;15;très fort
Pont-l'évêque;Vache;Pâte molle à croûte lavée;35;15;très fort
Pouligny-saint-pierre;Chèvre;Pâte molle à croûte naturelle;36;15;très fort
Reblochon ou reblochon de Savoie;Vache;Pâte pressée non cuite;37;15;très fort
Rigotte de Condrieu;Chèvre;Pâte molle à croûte fleurie;38;15;très fort
Rocamadour;Chèvre;Pâte molle à croûte naturelle;39;15;très fort
Roquefort;Brebis;Pâte persillée;40;15;très fort
Saint-Nectaire;Vache;Pâte pressée non cuite;41;15;très fort
Sainte-Maure-de-Touraine;Chèvre;Pâte molle à croûte naturelle;42;15;hardcore
Salers;Vache;Pâte pressée non cuite;43;15;hardcore
Selles-sur-Cher;Chèvre;Pâte molle à croûte naturelle;44;15;hardcore
Tome des Bauges;Vache;Pâte pressée non cuite;45;15;hardcore
Valençay;Chèvre;Pâte molle à croûte naturelle;46;15;hardcore
