nom;lait;type;ref;prix;gout;lieu
Abondance;Vache;Pâte pressée cuite;1;15;fort;Val d'Abondance (Haute-Savoie)
Banon;Chèvre;Pâte molle à croûte naturelle;2;15;fort;Haute-Provence (Alpes-de-Haute-Provence, Hautes-Alpes, Var et Vaucluse)
Beaufort;Vache;Pâte pressée cuite;3;15;fort;Beaufortain, la Maurienne et la Tarentaise, une partie du Val d'Arly (Savoie et Haute-Savoie)
Bleu d'Auvergne;Vache;Pâte persillée;4;15;fort;Puy-de-Dôme, Cantal, Haute-Loire, Aveyron, Corrèze, Lot et Lozère
Bleu de Gex;Vache;Pâte persillée;5;15;fort;Haut-Jura (Ain et Jura)
Bleu de Sassenage;Vache;Pâte persillée;6;15;fort;Sud du Massif central (Aveyron, Lot et Lozère)
Bleu des Causses;Vache;Pâte persillée;7;15;fort;Plateau du Vercors (Drôme et Isère)
Brie de Meaux;Vache;Pâte molle à croûte fleurie;8;15;fort;Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne
Brie de Melun;Vache;Pâte molle à croûte fleurie;9;15;fort;Seine-et-Marne, Aube et Yonne
Brocciu;Brebis;Fromage frais;10;15;fort;Haute-Corse et Corse-du-Sud
Brousse du Rove;Chèvre;Fromage frais;11;15;doux;Bouches-du-Rhône
Camembert de Normandie;Vache;Pâte molle à croûte fleurie;12;15;doux;Normandie (Calvados, Eure, Manche, Orne et Seine-Maritime)
Cantal;Vache;Pâte pressée non cuite;13;15;doux;Aveyron, Cantal, Corrèze et Puy-de-Dôme
Chabichou du Poitou;Chèvre;Pâte molle à croûte naturelle;14;15;doux;Vienne, Deux-Sèvres et Charente
Chaource;Vache;Pâte molle à croûte fleurie;15;15;doux;Aube et Yonne
Charolais;Chèvre;Pâte molle à croûte naturelle;16;15;doux;Rhône, Saône-et-Loire, Loire et Allier
Chevrotin;Chèvre;Pâte pressée non cuite;17;15;doux;Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)
Comté;Vache;Pâte pressée cuite;18;15;doux;Massif jurassien (Jura, Doubs, Ain) ainsi que Saône-et-Loire et Haute-Savoie
Crottin de Chavignol;Chèvre;Pâte molle à croûte naturelle;19;15;doux;Cher, Loiret et Nièvre
Époisses;Vache;Pâte molle à croûte lavée;20;15;doux;Côte-d'Or, Haute-Marne et Yonne
Fourme d'Ambert;Vache;Pâte persillée;21;15;doux;Puy-de-Dôme, Cantal et Loire
Fourme de Montbrison;Vache;Pâte persillée;22;15;doux;Loire et Puy-de-Dôme
Laguiole;Vache;Pâte pressée non cuite;23;15;doux;Massif de l’Aubrac (Aveyron, Cantal et Lozère)
Langres;Vache;Pâte molle à croûte lavée;24;15;très fort;Haute-Marne, Vosges et Côte-d'Or
Livarot;Vache;Pâte molle à croûte lavée;25;15;très fort;Calvados et Orne
Mâconnais;Chèvre;Pâte molle à croûte naturelle;26;15;très fort;Saône-et-Loire
Maroilles;Vache;Pâte molle à croûte lavée;27;15;très fort;Aisne et Nord
Mont d'Or;Vache;Pâte molle à croûte lavée;28;15;très fort;Doubs
Morbier;Vache;Pâte pressée non cuite;29;15;très fort;Massif jurassien (Ain, Doubs, Jura et Saône-et-Loire)
Munster;Vache;Pâte molle à croûte lavée;30;15;très fort;Bas-Rhin, Haut-Rhin, Meurthe-et-Moselle, Moselle, Haute-Saône, Territoire de Belfort et Vosges
Neufchâtel;Vache;Pâte molle à croûte fleurie;31;15;très fort;Pays de Bray (Seine-Maritime et Oise)
Ossau-iraty;Brebis;Pâte pressée non cuite;32;15;très fort;Pyrénées-Atlantiques et Hautes-Pyrénées
Pélardon;Chèvre;Pâte molle à croûte naturelle;33;15;très fort;Aude, Gard, Hérault, Lozère, Tarn
Picodon;Chèvre;Pâte molle à croûte naturelle;34;15;très fort;Ardèche, Drôme et canton de Valréas (Vaucluse)
Pont-l'évêque;Vache;Pâte molle à croûte lavée;35;15;très fort;Normandie (Calvados, Eure, Manche, Orne et Seine-Maritime) et Mayenne
Pouligny-saint-pierre;Chèvre;Pâte molle à croûte naturelle;36;15;très fort;Indre
Reblochon ou reblochon de Savoie;Vache;Pâte pressée non cuite;37;15;très fort;Savoie et Haute-Savoie
Rigotte de Condrieu;Chèvre;Pâte molle à croûte fleurie;38;15;très fort;Loire et Rhône
Rocamadour;Chèvre;Pâte molle à croûte naturelle;39;15;très fort;Aveyron, Corrèze, Dordogne, Lot et Tarn-et-Garonne
Roquefort;Brebis;Pâte persillée;40;15;très fort;Aude, Aveyron, Gard, Hérault, Lozère et Tarn
Saint-Nectaire;Vache;Pâte pressée non cuite;41;15;très fort;Cantal et Puy-de-Dôme
Sainte-Maure-de-Touraine;Chèvre;Pâte molle à croûte naturelle;42;15;hardcore;Indre, Indre-et-Loire, Loir-et-Cher et Vienne
Salers;Vache;Pâte pressée non cuite;43;15;hardcore;Aveyron, Cantal, Corrèze, Haute-Loire et Puy-de-Dôme
Selles-sur-Cher;Chèvre;Pâte molle à croûte naturelle;44;15;hardcore;Cher, Indre et Loir-et-Cher
Tome des Bauges;Vache;Pâte pressée non cuite;45;15;hardcore;Savoie et Haute-Savoie
Valençay;Chèvre;Pâte molle à croûte naturelle;46;15;hardcore;Cher, Indre, Indre-et-Loire et Loir-et-Cher
